Round,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Number,Number of 1st Prize Winner,1st Prize Amount,Number of 2nd Prize Winner,2nd Prize Amount,Number of 3rd Prize Winner,3rd Prize Amount,Draw Date
1,10,23,29,33,37,40,16,0,0,1,143934100,28,5140500,20241207
2,9,13,21,25,32,42,2,1,2002006800,2,94866800,103,1842000,20241130
3,11,16,19,21,27,31,30,1,2000000000,0,0,139,1174100,20241123
4,14,27,30,31,40,42,2,0,0,1,211191200,29,7282400,20241116
5,16,24,29,40,41,42,3,0,0,0,0,42,6033800,20241109
6,14,15,26,27,40,42,34,1,6574451700,3,196297600,138,4267300,20241102
7,2,9,16,25,26,40,42,0,0,9,48165000,270,1605500,20241026
8,8,19,25,34,37,39,9,0,0,6,131555000,348,2268100,20241019
9,2,4,16,17,36,39,14,0,0,4,769456500,352,8743800,20241012
10,9,25,30,33,41,44,6,13,6430437900,236,40813400,11247,856400,20241005
11,1,7,36,37,41,42,14,5,4780152300,11,362132700,428,9307100,20240928
12,2,11,21,25,39,45,44,12,1348845700,27,99914400,1903,1417500,20240921
13,22,23,25,37,38,42,26,0,0,6,433309300,450,5777400,20240914
14,2,6,12,31,33,40,15,4,9375048300,28,130363400,1421,2568700,20240907
15,3,4,16,30,31,37,13,1,17014245000,16,177231700,509,5571100,20240831
16,6,7,24,37,38,40,33,4,4377146100,12,243174700,862,3385200,20240824
17,3,4,9,17,32,37,1,3,5349491200,9,297193900,1142,2342100,20240817
18,3,12,13,19,32,35,29,0,0,15,175017300,664,3953700,20240810
19,6,30,38,39,40,43,26,1,40722959400,14,297278500,697,5971100,20240803
20,10,14,18,20,23,30,41,1,19352212800,14,230383400,888,3632100,20240727
21,6,12,17,18,31,32,21,23,797475400,26,117576500,2008,1522400,20240720
22,4,5,6,8,17,39,25,4,4552194900,32,94837300,827,3669600,20240713
23,5,13,17,18,33,42,44,4,4317947700,23,125157900,1372,2098100,20240706
24,7,8,27,29,36,43,6,0,0,18,176023700,925,3425300,20240629
25,2,4,21,26,43,44,16,2,24227745300,28,175267400,1111,4417100,20240622
26,4,5,7,18,20,25,31,5,3495069900,39,74680900,1340,2173500,20240615
27,1,20,26,28,37,43,27,2,9543982500,16,198832900,579,5494500,20240608
28,9,18,23,25,35,37,1,10,1700361100,22,128815200,1164,2434600,20240601
29,1,5,13,34,39,40,11,5,3552594000,17,174146700,752,3936800,20240525
30,8,17,20,35,36,44,4,2,8728555500,22,132250800,872,3336600,20240518
31,7,9,18,23,28,35,32,2,8106672900,29,93180100,1130,2391300,20240511
32,6,14,19,25,34,44,11,10,1634528300,49,55596200,1203,2264500,20240504
33,4,7,32,33,40,41,9,1,14903517600,41,60583400,1063,2336700,20240427
34,9,26,35,37,40,42,2,5,3056918000,45,56609500,1264,2015300,20240420
35,2,3,11,26,37,43,39,3,5054598200,24,105304100,933,2708700,20240413
36,1,10,23,26,28,40,31,1,16014475800,19,140477800,768,3475300,20240406
37,7,27,30,33,35,37,42,3,4985999400,20,124649900,857,2908900,20240330
38,16,17,22,30,37,43,36,3,5374866400,18,149301800,679,3957900,20240323
39,6,7,13,15,21,43,8,6,2623748800,25,104949900,699,3753500,20240316
40,7,13,18,19,25,26,6,13,1147652400,44,56513100,1055,2356900,20240309
41,13,20,23,35,38,43,34,0,0,21,109404000,700,3282100,20240302
42,17,18,19,21,23,32,1,6,6899280100,35,131479800,1405,3275200,20240224
43,6,31,35,38,39,44,1,1,17749630800,21,140870000,926,3194600,20240217
44,3,11,21,30,38,45,39,5,3362155800,23,121817200,785,3569100,20240210
45,1,10,20,27,33,35,17,2,8356417800,27,103165600,890,3129700,20240203
46,8,13,15,23,31,38,39,3,5327758800,39,68304600,1043,2554000,20240127
47,14,17,26,31,36,45,27,5,3250042400,11,246215300,902,3002600,20240120
48,6,10,18,26,37,38,3,6,2415673600,25,96626900,1279,1888700,20240113
49,4,7,16,19,33,40,30,7,1967504600,49,46845300,1487,1543600,20240106
50,2,10,12,15,22,44,1,3,5227061400,14,186680700,826,3164000,20231230
51,2,3,11,16,26,44,35,6,2421117000,26,93119800,961,2519300,20231223
52,2,4,15,16,20,29,1,4,3900844900,13,200043300,669,3887200,20231216
53,7,8,14,32,33,39,42,3,5014371000,25,100287400,802,3126100,20231209
54,1,8,21,27,36,39,37,3,5148626600,15,171620800,719,3580400,20231202
55,17,21,31,37,40,44,7,2,7088799600,24,98455500,728,3245700,20231125
56,10,14,30,31,33,37,19,4,3777570900,29,86840700,1359,1853100,20231118
57,7,10,16,25,29,44,6,4,4114411900,25,109717600,960,2857200,20231111
58,10,24,25,33,40,44,1,4,3676429200,39,62844900,1318,1859600,20231104
59,6,29,36,39,41,45,13,4,4127587300,23,119640200,651,4226900,20231028
60,2,8,25,36,39,42,11,7,2172504600,27,93873600,1088,2329500,20231021
61,14,15,19,30,38,43,8,5,3541038800,11,268260500,789,3740000,20231014
62,3,8,15,27,29,35,21,1,15817286400,22,119827900,829,3179900,20231007
63,3,20,23,36,38,40,5,2,7922245500,26,101567200,824,3204700,20230930
64,14,15,18,21,26,36,39,4,3899818000,11,236352600,651,3993600,20230923
65,4,25,33,36,40,43,39,4,3727945800,27,92048000,1003,2477800,20230916
66,2,3,7,17,22,24,45,4,3685138200,19,129303000,786,3125600,20230909
67,3,7,10,15,36,38,33,7,2114436500,62,39787700,972,2537900,20230902
68,10,12,15,16,26,39,38,5,2945882100,20,122745000,754,3255800,20230826
69,5,8,14,15,19,39,35,3,4962712200,20,124067800,766,3239300,20230819
70,5,19,22,25,28,43,26,3,5031277800,14,179688400,717,3508500,20230812
71,5,9,12,16,29,41,21,0,0,28,88745200,782,3177500,20230805
72,2,4,11,17,26,27,1,13,3260524600,44,104081800,2510,1824500,20230729
73,3,12,18,32,40,43,38,6,2766662100,26,106410000,1363,2029800,20230722
74,6,15,17,18,35,40,23,3,5284949800,40,66061800,1021,2588100,20230715
75,2,5,24,32,34,44,28,4,3914616900,19,137354900,817,3194300,20230708
76,1,3,15,22,25,37,43,2,7451022600,17,146098400,840,2956700,20230701
77,2,18,29,32,43,44,37,3,5155758600,19,135677800,713,3615500,20230624
78,10,13,25,29,33,35,38,4,3519850000,22,106662100,910,2578600,20230617
